"","plot","sp_group","coverage","species_id2"
"250","N_MH_1_T","",1,"salix"
"251","N_MH_1_T","",80,"crowberry"
"252","N_MH_1_T","",20,"odon"
"253","N_MH_1_T","",1,"kantljung"
"254","N_MH_1_T","",1,"fjällvedel"
"255","N_MH_1_T","",1,"equisetum scirpoides"
"256","N_MH_1_T","",1,"ripbär"
"257","N_MH_1_T","lichen",1,"lichen"
"258","N_MH_1_T","moss and liverwort",20,"moss and liverwort"
"259","N_MH_1_T","moss and liverwort",1,"moss and liverwort"
"260","N_MH_1_T","",1,"vanlig styvstarr"
"261","N_MH_1_T","",1,"ormrot"
"262","N_MH_2_S","",75,"crowberry"
"263","N_MH_2_S","",25,"odon"
"264","N_MH_2_S","",10,"betula nana"
"265","N_MH_2_S","",5,"fjällsippa"
"266","N_MH_2_S","lichen",5,"lichen"
"267","N_MH_2_S","lichen",1,"lichen"
"268","N_MH_2_S","moss and liverwort",1,"moss and liverwort"
"269","N_MH_2_S","",1,"vanlig styvstarr"
"270","N_MH_2_S","",1,"ripbär"
"271","N_MH_2_S","",1,"equisetum scirpoides"
"272","N_MH_2_S","moss and liverwort",40,"moss and liverwort"
"273","N_MH_2_S","",1,"calamagrostis"
"274","N_MH_2_S","",1,"fårsvingel"
"275","N_MH_2_T","",5,"salix"
"276","N_MH_2_T","",60,"betula nana"
"277","N_MH_2_T","",60,"crowberry"
"278","N_MH_2_T","",15,"odon"
"279","N_MH_2_T","lichen",5,"lichen"
"280","N_MH_2_T","",1,"fårsvingel"
"281","N_MH_2_T","",1,"vanlig styvstarr"
"282","N_MH_2_T","lichen",1,"lichen"
"283","N_MH_2_T","",1,"calamagrostis"
"284","N_MH_2_T","moss and liverwort",40,"moss and liverwort"
"285","N_MH_2_T","moss and liverwort",1,"moss and liverwort"
"286","N_MH_2_T","",1,"fjällvedel"
"287","N_MH_2_T","",1,"equisetum scirpoides"
"288","N_MH_3_S","",20,"betula nana"
"289","N_MH_3_S","",50,"crowberry"
"290","N_MH_3_S","",5,"ripbär"
"291","N_MH_3_S","",25,"odon"
"292","N_MH_3_S","",1,"fjällvedel"
"293","N_MH_3_S","",10,"kantljung"
"294","N_MH_3_S","",1,"björnbrodd"
"295","N_MH_3_S","lichen",5,"lichen"
"296","N_MH_3_S","",1,"equisetum scirpoides"
"297","N_MH_3_S","moss and liverwort",70,"moss and liverwort"
"298","N_MH_3_S","moss and liverwort",1,"moss and liverwort"
"299","N_MH_3_S","lichen",1,"lichen"
"300","N_MH_3_S","",1,"calamagrostis"
"301","N_MH_3_S","",1,"fårsvingel"
"302","N_MH_3_S","",1,"lapskalpros"
"303","N_MH_3_T","",60,"betula nana"
"304","N_MH_3_T","",60,"crowberry"
"305","N_MH_3_T","",10,"ripbär"
"306","N_MH_3_T","",10,"odon"
"307","N_MH_3_T","",1,"fjällsippa"
"308","N_MH_3_T","",1,"equisetum scirpoides"
"309","N_MH_3_T","",1,"ormrot"
"310","N_MH_3_T","",1,"spira"
"311","N_MH_3_T","lichen",1,"lichen"
"312","N_MH_3_T","",1,"fjällvedel"
"313","N_MH_3_T","graminoid",10,"fårsvingel"
"314","N_MH_3_T","",1,"kantljung"
"315","N_MH_3_T","moss and liverwort",50,"moss and liverwort"
"316","N_MH_3_T","moss and liverwort",1,"moss and liverwort"
"317","N_MH_3_T","graminoid",1,"calamagrostis"
"318","N_MH_3_T","",1,"lapskalpros"
"319","N_MH_3_T","",1,"tuvnarv"
"320","N_M_1_C","",10,"krypljung"
"321","N_M_1_C","",1,"fjällgröna"
"322","N_M_1_C","",15,"crowberry"
"323","N_M_1_C","",5,"betula nana"
"324","N_M_1_C","",5,"fjällsippa"
"325","N_M_1_C","",1,"odon"
"326","N_M_1_C","lichen",65,"lichen"
"327","N_M_1_C","",1,"vanlig styvstarr"
"328","N_M_1_C","",1,"lingon"
"329","N_M_1_C","lichen",1,"lichen"
"330","N_M_1_C","",1,"tätört"
"331","N_M_1_C","",1,"equisetum scirpoides"
"332","N_M_1_C","moss and liverwort",15,"moss and liverwort"
"333","N_M_1_C","moss and liverwort",1,"moss and liverwort"
"334","N_M_1_C","",1,"fårsvingel"
"335","N_M_1_C","rock",30,"rock"
"336","N_M_1_S","",1,"betula nana"
"337","N_M_1_S","",95,"crowberry"
"338","N_M_1_S","",1,"lingon"
"339","N_M_1_S","lichen",10,"lichen"
"340","N_M_1_S","",1,"odon"
"341","N_M_1_S","lichen",1,"lichen"
"342","N_M_1_S","",5,"ripbär"
"343","N_M_1_S","",1,"vanlig styvstarr"
"344","N_M_1_S","",1,"fårsvingel"
"345","N_M_1_S","",1,"calamagrostis"
"346","N_M_1_S","",1,"equisetum scirpoides"
"347","N_M_1_S","moss and liverwort",70,"moss and liverwort"
"348","N_M_1_S","moss and liverwort",1,"moss and liverwort"
"349","N_M_2_C","",5,"krypljung"
"350","N_M_2_C","",1,"fjällgröna"
"351","N_M_2_C","",1,"tätört"
"352","N_M_2_C","",1,"fjällsippa"
"353","N_M_2_C","",1,"lingon"
"354","N_M_2_C","",1,"vanlig styvstarr"
"355","N_M_2_C","",5,"betula nana"
"356","N_M_2_C","",1,"odon"
"357","N_M_2_C","",5,"crowberry"
"358","N_M_2_C","lichen",65,"lichen"
"359","N_M_2_C","lichen",1,"lichen"
"360","N_M_2_C","moss and liverwort",1,"moss and liverwort"
"361","N_M_2_C","",1,"ripbär"
"362","N_M_2_C","poop",5,"poop"
"363","N_M_2_C","rock",20,"rock"
"364","N_M_1_T","",70,"betula nana"
"365","N_M_1_T","",15,"odon"
"366","N_M_1_T","",70,"lingon"
"367","N_M_1_T","",1,"ripbär"
"368","N_M_1_T","moss and liverwort",35,"moss and liverwort"
"369","N_M_1_T","lichen",1,"lichen"
"370","N_M_1_T","",1,"equisetum scirpoides"
"371","N_M_1_T","moss and liverwort",1,"moss and liverwort"
"372","N_M_1_T","",1,"vanlig styvstarr"
"373","N_M_1_T","",1,"unknown"
"374","N_M_1_T","lichen",20,"lichen"
"375","N_M_1_T","",1,"fårsvingel"
"376","N_M_1_T","",1,"krypljung"
"377","N_M_1_T","rock",5,"rock"
"378","N_M_2_S","",1,"crowberry"
"379","N_M_2_S","",1,"ripbär"
"380","N_M_2_S","",1,"odon"
"381","N_M_2_S","",5,"betula nana"
"382","N_M_2_S","",15,"lingon"
"383","N_M_2_S","lichen",1,"lichen"
"384","N_M_2_S","",1,"vanlig styvstarr"
"385","N_M_2_S","",1,"calamagrostis"
"386","N_M_2_S","lichen",20,"lichen"
"387","N_M_2_S","",15,"fårsvingel"
"388","N_M_2_S","moss and liverwort",35,"moss and liverwort"
"389","N_M_2_S","moss and liverwort",1,"moss and liverwort"
"390","N_M_2_S","",1,"krypljung"
"391","N_M_2_T","",1,"equisetum pratense"
"392","N_M_2_T","",90,"betula nana"
"393","N_M_2_T","lichen",1,"lichen"
"394","N_M_2_T","",10,"crowberry"
"395","N_M_2_T","",20,"fårsvingel"
"396","N_M_2_T","",5,"odon"
"397","N_M_2_T","moss and liverwort",70,"moss and liverwort"
"398","N_M_2_T","moss and liverwort",1,"moss and liverwort"
"399","N_M_3_C","",5,"betula nana"
"400","N_M_3_C","",5,"odon"
"401","N_M_3_C","",10,"crowberry"
"402","N_M_3_C","",1,"ripbär"
"403","N_M_3_C","",5,"krypljung"
"404","N_M_3_C","",1,"vanlig styvstarr"
"405","N_M_3_C","",1,"lingon"
"406","N_M_3_C","",1,"klynnetåg"
"407","N_M_3_C","lichen",65,"lichen"
"408","N_M_3_C","lichen",1,"lichen"
"409","N_M_3_C","moss and liverwort",1,"moss and liverwort"
"410","N_M_3_C","rock",10,"rock"
"411","N_M_3_S","",80,"crowberry"
"412","N_M_3_S","",5,"ripbär"
"413","N_M_3_S","",1,"lingon"
"414","N_M_3_S","",5,"odon"
"415","N_M_3_S","",1,"vanlig styvstarr"
"416","N_M_3_S","lichen",1,"lichen"
"417","N_M_3_S","moss and liverwort",40,"moss and liverwort"
"418","N_M_3_S","moss and liverwort",1,"moss and liverwort"
"419","N_M_3_T","",70,"betula nana"
"420","N_M_3_T","",1,"ripbär"
"421","N_M_3_T","lichen",1,"lichen"
"422","N_M_3_T","",1,"odon"
"423","N_M_3_T","",1,"vanlig styvstarr"
"424","N_M_3_T","moss and liverwort",1,"moss and liverwort"
"425","N_M_3_T","lichen",10,"lichen"
"426","N_M_3_T","moss and liverwort",30,"moss and liverwort"
"427","N_M_3_T","",50,"crowberry"
"428","N_M_3_T","",45,"lingon"
"429","N_M_3_T","",10,"fårsvingel"
"430","N_LM_1_C","",1,"odon"
"431","N_LM_1_C","lichen",1,"lichen"
"432","N_LM_1_C","lichen",55,"lichen"
"433","N_LM_1_C","",1,"fjällgröna"
"434","N_LM_1_C","moss and liverwort",40,"moss and liverwort"
"435","N_LM_1_C","moss and liverwort",1,"moss and liverwort"
"436","N_LM_1_C","",1,"rosling"
"437","N_LM_1_C","",1,"björnbrodd"
"438","N_LM_1_C","",1,"lingon"
"439","N_LM_1_C","",1,"tätört"
"440","N_LM_1_C","",5,"krypljung"
"441","N_LM_1_C","",10,"crowberry"
"442","N_LM_1_C","",1,"betula nana"
"443","N_LM_1_C","rock",25,"rock"
"444","N_LM_1_T","",30,"betula nana"
"445","N_LM_1_T","",25,"lingon"
"446","N_LM_1_T","",10,"odon"
"447","N_LM_1_T","",5,"calamagrostis"
"448","N_LM_1_T","",5,"equisetum pratense"
"449","N_LM_1_T","moss and liverwort",1,"moss and liverwort"
"450","N_LM_1_T","moss and liverwort",15,"moss and liverwort"
"451","N_LM_1_T","lichen",1,"lichen"
"452","N_LM_1_T","",1,"cloudberry"
"453","N_LM_1_T","",35,"salix"
"454","N_LM_1_T","",95,"crowberry"
"455","N_LM_1_S","",75,"crowberry"
"456","N_LM_1_S","",5,"betula nana"
"457","N_LM_1_S","",5,"salix"
"458","N_LM_1_S","",5,"lingon"
"459","N_LM_1_S","",1,"cloudberry"
"460","N_LM_1_S","lichen",1,"lichen"
"461","N_LM_1_S","moss and liverwort",60,"moss and liverwort"
"462","N_LM_1_S","",5,"calamagrostis"
"463","N_LM_1_S","lichen",20,"lichen"
"464","N_LM_1_S","",1,"ripbär"
"465","N_LM_1_S","moss and liverwort",1,"moss and liverwort"
"466","N_LM_1_S","",10,"odon"
"467","N_LM_2_C","",1,"ripbär"
"468","N_LM_2_C","",1,"vanlig styvstarr"
"469","N_LM_2_C","",5,"krypljung"
"470","N_LM_2_C","",1,"fjällgröna"
"471","N_LM_2_C","",1,"björnbrodd"
"472","N_LM_2_C","",1,"ormrot"
"473","N_LM_2_C","",1,"lapskalpros"
"474","N_LM_2_C","",1,"tätört"
"475","N_LM_2_C","lichen",50,"lichen"
"476","N_LM_2_C","lichen",1,"lichen"
"477","N_LM_2_C","",1,"betula nana"
"478","N_LM_2_C","",1,"odon"
"479","N_LM_2_C","moss and liverwort",35,"moss and liverwort"
"480","N_LM_2_C","moss and liverwort",1,"moss and liverwort"
"481","N_LM_2_C","rock",30,"rock"
"482","N_LM_2_C","",1,"crowberry"
"483","N_LM_2_T","",30,"salix"
"484","N_LM_2_T","",50,"betula nana"
"485","N_LM_2_T","",50,"crowberry"
"486","N_LM_2_T","",10,"fårsvingel"
"487","N_LM_2_T","lichen",5,"lichen"
"488","N_LM_2_T","",1,"equisetum pratense"
"489","N_LM_2_T","lichen",1,"lichen"
"490","N_LM_2_T","moss and liverwort",1,"moss and liverwort"
"491","N_LM_2_T","moss and liverwort",70,"moss and liverwort"
"492","N_LM_2_T","",1,"lingon"
"493","N_LM_2_T","",1,"cloudberry"
"494","N_LM_2_S","",1,"betula nana"
"495","N_LM_2_S","",1,"vanlig styvstarr"
"496","N_LM_2_S","",1,"odon"
"497","N_LM_2_S","",65,"crowberry"
"498","N_LM_2_S","",5,"equisetum pratense"
"499","N_LM_2_S","moss and liverwort",75,"moss and liverwort"
"500","N_LM_2_S","moss and liverwort",1,"moss and liverwort"
"501","N_LM_2_S","lichen",15,"lichen"
"502","N_LM_2_S","lichen",1,"lichen"
"503","N_LM_2_S","",5,"calamagrostis"
"504","N_LM_2_S","",1,"lingon"
"505","N_LM_2_S","",30,"rosling"
"506","N_LM_2_S","",1,"cloudberry"
"507","N_LM_3_C","",1,"lingon"
"508","N_LM_3_C","",1,"odon"
"509","N_LM_3_C","",1,"rosling"
"510","N_LM_3_C","",1,"krypljung"
"511","N_LM_3_C","",1,"cloudberry"
"512","N_LM_3_C","",1,"equisetum pratense"
"513","N_LM_3_C","",1,"unknown"
"514","N_LM_3_C","",1,"calamagrostis"
"515","N_LM_3_C","lichen",1,"lichen"
"516","N_LM_3_C","",1,"fjällgröna"
"517","N_LM_3_C","lichen",75,"lichen"
"518","N_LM_3_C","moss and liverwort",1,"moss and liverwort"
"519","N_LM_3_C","",10,"crowberry"
"520","N_LM_3_S","",90,"crowberry"
"521","N_LM_3_S","",20,"betula nana"
"522","N_LM_3_S","",5,"odon"
"523","N_LM_3_S","",1,"cloudberry"
"524","N_LM_3_S","",5,"salix"
"525","N_LM_3_S","",5,"equisetum pratense"
"526","N_LM_3_S","",1,"fjällgröna"
"527","N_LM_3_S","lichen",1,"lichen"
"528","N_LM_3_S","",1,"björnbrodd"
"529","N_LM_3_S","",1,"lingon"
"530","N_LM_3_S","",1,"calamagrostis"
"531","N_LM_3_S","moss and liverwort",5,"moss and liverwort"
"532","N_LM_3_S","moss and liverwort",1,"moss and liverwort"
"533","N_LM_3_S","",1,"rosling"
"534","N_LM_3_T","",70,"betula nana"
"535","N_LM_3_T","",75,"lingon"
"536","N_LM_3_T","",15,"crowberry"
"537","N_LM_3_T","",5,"equisetum pratense"
"538","N_LM_3_T","lichen",1,"lichen"
"539","N_LM_3_T","",10,"calamagrostis"
"540","N_LM_3_T","moss and liverwort",1,"moss and liverwort"
"541","N_LM_3_T","moss and liverwort",70,"moss and liverwort"
"542","N_LM_3_T","lichen",5,"lichen"
"543","N_LM_3_T","",1,"vanlig styvstarr"
"544","N_L_2_T","",60,"betula nana"
"545","N_L_2_T","",20,"odon"
"546","N_L_2_T","",40,"crowberry"
"547","N_L_2_T","",30,"lingon"
"548","N_L_2_T","moss and liverwort",60,"moss and liverwort"
"549","N_L_2_T","lichen",10,"lichen"
"550","N_L_2_T","lichen",1,"lichen"
"551","N_L_2_T","moss and liverwort",1,"moss and liverwort"
"552","N_L_2_T","",1,"calamagrostis"
"553","N_L_2_S","",40,"ripbär"
"554","N_L_2_S","",10,"odon"
"555","N_L_2_S","",40,"crowberry"
"556","N_L_2_S","",1,"calamagrostis"
"557","N_L_2_S","",1,"betula nana"
"558","N_L_2_S","",1,"rosling"
"559","N_L_2_S","",10,"lingon"
"560","N_L_2_S","lichen",15,"lichen"
"561","N_L_2_S","lichen",1,"lichen"
"562","N_L_2_S","moss and liverwort",1,"moss and liverwort"
"563","N_L_3_T","",50,"betula nana"
"564","N_L_3_T","",75,"crowberry"
"565","N_L_3_T","",25,"odon"
"566","N_L_3_T","",1,"ripbär"
"567","N_L_3_T","lichen",10,"lichen"
"568","N_L_3_T","moss and liverwort",10,"moss and liverwort"
"569","N_L_3_T","lichen",1,"lichen"
"570","N_L_3_T","",10,"lingon"
"571","N_L_3_T","moss and liverwort",1,"moss and liverwort"
"572","N_L_3_T","",1,"calamagrostis"
"573","N_L_3_S","",80,"crowberry"
"574","N_L_3_S","",5,"betula nana"
"575","N_L_3_S","",5,"lingon"
"576","N_L_3_S","",5,"calamagrostis"
"577","N_L_3_S","lichen",1,"lichen"
"578","N_L_3_S","moss and liverwort",1,"moss and liverwort"
"579","N_L_3_S","",1,"odon"
"580","N_L_1_C","lichen",60,"lichen"
"581","N_L_1_C","",15,"crowberry"
"582","N_L_1_C","",5,"lingon"
"583","N_L_1_C","moss and liverwort",10,"moss and liverwort"
"584","N_L_1_C","moss and liverwort",1,"moss and liverwort"
"585","N_L_1_C","lichen",1,"lichen"
"586","N_L_1_C","",10,"calamagrostis"
"587","N_L_1_C","",1,"betula nana"
